symbol,AGE,GRADE,IMMIG,REPEAT,STUDYHMW,EXPECEDU,RELATST,FAMSUP,SCHSUST,PAREDINT,HISEI,HOMEPOS,ESCS,PQSCHOOL,PAREXPT
Enthusiasts,0.084783213,0.234959635,-0.310512542,-0.270643459,0.672569601,0.317521685,0.283826724,0.478284559,0.275209048,-0.200751371,-0.76282033,-0.413818778,-0.57841095,0.120664627,0.1939074
Underexpect,-0.024015463,-0.038915042,-0.108838018,-0.067505789,-0.1209539,-0.3970825,-0.086823159,-0.13721601,-0.074655681,-0.310541405,-0.323796599,-0.131697001,-0.327840578,-0.43287305,-3.848727128
Disadvantaged,0.096079761,0.049403355,-0.259206491,-0.242657932,0.077212395,0.131943809,-0.006344607,-0.435789937,-0.398997178,-1.85573152,-1.107367561,-1.387406995,-1.85471276,0.090974588,0.219850385
Prosperous Immigrants,-0.032274143,0.107366769,2.95397233,-0.143150805,0.01329352,0.268227287,0.020645978,0.069148631,0.076741136,0.585303984,0.72077602,0.458151654,0.751623981,0.045519441,0.191161905
Socially Engaged,0.010286601,0.199330752,-0.293265307,-0.257600051,0.520773742,0.377917716,0.947910473,0.895086971,0.879415995,0.570620563,0.773854123,0.604424893,0.825767914,0.259238757,0.184057474
Repeaters,0.016555226,-1.722393413,0.258731845,3.676451043,-0.051602567,-0.225481385,-0.05277177,-0.254440321,-0.23225378,-0.352937406,-0.499210557,-0.541115599,-0.593591623,0.083918114,-0.027345459
Challenged Immigrants,0.002332292,-0.04018246,2.67525662,-0.214076527,0.053185789,-0.027381732,-0.04934178,-0.188844596,-0.012903105,-0.648421445,-0.862020047,-0.472505571,-0.842576401,-0.037765256,0.046167042
Senior,0.916435272,0.484614232,-0.313244848,-0.263114286,-0.190511355,0.191653639,-0.28195948,-0.174833997,-0.135780567,0.545766956,0.723331243,0.514686924,0.756846438,-0.10745,0.17572977
Junior,-0.937924931,-0.200802716,-0.318809541,-0.269321983,-0.134309089,0.149622586,-0.279989424,-0.116464247,-0.142953116,0.554826125,0.726113948,0.542156606,0.774121129,-0.102305066,0.173217603
Struggling,-0.109960741,-0.004842255,-0.300597495,-0.271370161,-0.747966971,-0.950723377,-0.360937432,-0.477233418,-0.36888153,-0.298174059,-0.584933534,-0.282336388,-0.494495278,-0.050510484,0.250727814
