,MI
MATHEFF,0.138500818
HOMEPOS,0.126358419
ESCS,0.104796848
ICTWKDY,0.103940278
HISEI,0.084943071
ICTLEISURE,0.082891565
ICTWKEND,0.082743498
FAMCON,0.081362714
ICTEFFIC,0.080860059
BFMJ2,0.068369918
BMMJ1,0.068005188
ICTSUBJ,0.067696794
ICTRES,0.063893109
ICTFEED,0.055071087
ICTREG,0.054097561
BSMJ,0.053294315
ICTHOME,0.049472404
ASSERAGR,0.048877566
ICTINFO,0.048431882
ANXMAT,0.04763764
STRESAGR,0.045883972
MATHEF21,0.045775719
PERSEVAGR,0.045638382
EXPECEDU,0.045395898
EMPATAGR,0.044967072
WORKPAY,0.043786292
ICTOUT,0.043144963
ICTENQ,0.042903753
COOPAGR,0.042304651
FAMSUPSL,0.039549635
SCHSUST,0.039344867
PROBSELF,0.03592461
EXERPRAC,0.033897508
ICTQUAL,0.032292016
PAREDINT,0.03142229
ICTUSE,0.030580227
FAMSUP,0.030346882
REPEAT,0.029816579
HISCED,0.028802763
INFOSEEK,0.028140191
DISCLIM,0.027652231
STUDYHMW,0.027386529
FISCED,0.026966931
MATHPERS,0.026721353
SCHRISK,0.026658787
BULLIED,0.025981386
WORKHOME,0.025028587
FEELSAFE,0.024956438
SDLEFF,0.023734784
MISCED,0.023656372
CURIOAGR,0.02284014
CURSUPP,0.022561808
COGACMCO,0.01883161
BELONG,0.018409886
EXPO21ST,0.018182403
EXPOFA,0.017572684
LEARRES,0.017263123
COGACRCO,0.017090954
SKIPPING,0.016426883
PASCHPOL,0.016287703
PARINVOL,0.015983295
ISCEDP,0.01532688
ICTSTUDY,0.015250916
EMOCOAGR,0.01515099
TEACHSUP,0.014941149
TARDYSD,0.014722098
GRADE,0.014209017
LIFESAT,0.014158566
RELATST,0.013769741
ATTIMMP,0.013574736
DURECEC,0.013026621
SOCCON,0.012262649
MISSSC,0.012209367
PQSCHOOL,0.011912733
ICTDISTR,0.011015172
ICTAVHOM,0.010981986
ICTSCH,0.009123606
SOCONPA,0.008754943
PAREXPT,0.008617657
PSYCHSYM,0.008222535
EXPWB,0.007962357
PQMCAR,0.007587216
FEELLAH,0.007370061
BODYIMA,0.006426388
PQMIMP,0.005748494
ICTSCHPRD,0.004848575
STUBMI,0.004072533
MATHPREF,0.003928146
GENDER,0.00366933
SISCO,0.003512088
IMMIG,0.003255347
AGE,0.002822943
ICTAVSCH,0.002749588
MATHEASE,0.001281966
MATHMOT,0
